County Name,State,2023-07-23
Statewide Unallocated,AL,0
Autauga County,AL,19913
Baldwin County,AL,70521
Barbour County,AL,7582
Bibb County,AL,8149
Blount County,AL,18872
Bullock County,AL,3057
Butler County,AL,6617
Calhoun County,AL,41931
Chambers County,AL,10935
Cherokee County,AL,6803
Chilton County,AL,13073
Choctaw County,AL,2260
Clarke County,AL,8630
Clay County,AL,5223
Cleburne County,AL,4460
Coffee County,AL,17358
Colbert County,AL,21616
Conecuh County,AL,3654
Coosa County,AL,3805
Covington County,AL,11885
Crenshaw County,AL,4766
Cullman County,AL,31723
Dale County,AL,16715
Dallas County,AL,11099
DeKalb County,AL,22664
Elmore County,AL,30079
Escambia County,AL,12549
Etowah County,AL,34402
Fayette County,AL,5949
Franklin County,AL,12248
Geneva County,AL,8001
Greene County,AL,2351
Hale County,AL,5793
Henry County,AL,5915
Houston County,AL,32948
Jackson County,AL,18504
Jefferson County,AL,240736
Lamar County,AL,4819
Lauderdale County,AL,30743
Lawrence County,AL,9487
Lee County,AL,48087
Limestone County,AL,32491
Lowndes County,AL,3410
Macon County,AL,5337
Madison County,AL,117283
Marengo County,AL,6118
Marion County,AL,10209
Marshall County,AL,33237
Mobile County,AL,135840
Monroe County,AL,6796
Montgomery County,AL,74623
Morgan County,AL,46965
Perry County,AL,2701
Pickens County,AL,6520
Pike County,AL,9335
Randolph County,AL,6593
Russell County,AL,13152
St. Clair County,AL,33629
Shelby County,AL,78788
Sumter County,AL,3226
Talladega County,AL,28816
Tallapoosa County,AL,14744
Tuscaloosa County,AL,72031
Walker County,AL,24499
Washington County,AL,4422
Wilcox County,AL,3721
Winston County,AL,9528
Statewide Unallocated,AK,0
Aleutians East Borough,AK,796
Aleutians West Census Area,AK,1167
Municipality of Anchorage,AK,121391
Bethel Census Area,AK,13359
Bristol Bay Borough,AK,608
Denali Borough,AK,477
Dillingham Census Area,AK,2269
Fairbanks North Star Borough,AK,32247
Haines Borough,AK,791
Hoonah-Angoon Census Area,AK,0
City and Borough of Juneau,AK,11389
Kenai Peninsula Borough,AK,21340
Ketchikan Gateway Borough,AK,5013
Kodiak Island Borough,AK,5702
Kusilvak Census Area,AK,1508
Lake and Peninsula Borough,AK,121
Matanuska-Susitna Borough,AK,40348
Nome Census Area,AK,7672
North Slope Borough,AK,4975
Northwest Arctic Borough,AK,5871
Petersburg Borough,AK,179
Prince of Wales - Hyder Census Area,AK,251
City and Borough of Sitka,AK,3392
Municipality of Skagway,AK,30
Southeast Fairbanks Census Area,AK,2316
Valdez-Cordova Census Area,AK,2171
City and Borough of Wrangell,AK,71
City and Borough of Yakutat,AK,63
Yukon-Koyukuk Census Area,AK,1802
Statewide Unallocated,AZ,1
Apache County,AZ,38277
Cochise County,AZ,39794
Coconino County,AZ,53996
Gila County,AZ,21779
Graham County,AZ,14277
Greenlee County,AZ,2810
La Paz County,AZ,6161
Maricopa County,AZ,1552756
Mohave County,AZ,68398
Navajo County,AZ,49652
Pima County,AZ,325955
Pinal County,AZ,158952
Santa Cruz County,AZ,20112
Yavapai County,AZ,61534
Yuma County,AZ,72217
Statewide Unallocated,AR,3033
Arkansas County,AR,7013
Ashley County,AR,6255
Baxter County,AR,10739
Benton County,AR,77493
Boone County,AR,11304
Bradley County,AR,3597
Calhoun County,AR,1197
Carroll County,AR,7293
Chicot County,AR,3125
Clark County,AR,6426
Clay County,AR,5154
Cleburne County,AR,8065
Cleveland County,AR,2684
Columbia County,AR,6797
Conway County,AR,6618
Craighead County,AR,47435
Crawford County,AR,18667
Crittenden County,AR,16717
Cross County,AR,5761
Dallas County,AR,2070
Desha County,AR,3659
Drew County,AR,5645
Faulkner County,AR,43060
Franklin County,AR,4494
Fulton County,AR,3112
Garland County,AR,27112
Grant County,AR,5258
Greene County,AR,19820
Hempstead County,AR,5645
Hot Spring County,AR,13067
Howard County,AR,4660
Independence County,AR,12812
Izard County,AR,4730
Jackson County,AR,7291
Jefferson County,AR,22384
Johnson County,AR,8209
Lafayette County,AR,1510
Lawrence County,AR,6535
Lee County,AR,3346
Lincoln County,AR,5504
Little River County,AR,3890
Logan County,AR,6075
Lonoke County,AR,24045
Madison County,AR,4866
Marion County,AR,4106
Miller County,AR,11636
Mississippi County,AR,16442
Monroe County,AR,2311
Montgomery County,AR,1775
Nevada County,AR,2777
Newton County,AR,2055
Ouachita County,AR,6779
Perry County,AR,3020
Phillips County,AR,5890
Pike County,AR,2965
Poinsett County,AR,10128
Polk County,AR,4654
Pope County,AR,20974
Prairie County,AR,2418
Pulaski County,AR,128164
Randolph County,AR,6466
St. Francis County,AR,8569
Saline County,AR,37232
Scott County,AR,2863
Searcy County,AR,2575
Sebastian County,AR,39367
Sevier County,AR,7125
Sharp County,AR,5718
Stone County,AR,3711
Union County,AR,11312
Van Buren County,AR,4348
Washington County,AR,81088
White County,AR,27147
Woodruff County,AR,2276
Yell County,AR,7599
Statewide Unallocated,CA,4265
Alameda County,CA,389331
Alpine County,CA,139
Amador County,CA,10716
Butte County,CA,42213
Calaveras County,CA,9142
Colusa County,CA,4043
Contra Costa County,CA,279336
Del Norte County,CA,8005
