County,State,TotalPop,IncomePerCap,Poverty,Unemployment
Autauga County,Alabama,55036,27824,13.7,5.2
Baldwin County,Alabama,203360,29364,11.8,5.5
Barbour County,Alabama,26201,17561,27.2,12.4
Bibb County,Alabama,22580,20911,15.2,8.2
Blount County,Alabama,57667,22021,15.6,4.9
Bullock County,Alabama,10478,20856,28.5,12.1
Butler County,Alabama,20126,19004,24.4,7.6
Calhoun County,Alabama,115527,23638,18.6,10.1
Chambers County,Alabama,33895,22002,18.8,6.4
Cherokee County,Alabama,25855,23010,16.1,5.3
Chilton County,Alabama,43805,23368,19.4,6.7
Choctaw County,Alabama,13188,20994,22.3,9.8
Clarke County,Alabama,24625,20765,25.3,15.2
Clay County,Alabama,13407,21330,19.1,6.4
Cleburne County,Alabama,14939,20873,19.1,7.8
Coffee County,Alabama,51073,26216,16.1,6.0
Colbert County,Alabama,54435,23675,16.8,6.9
Conecuh County,Alabama,12649,16337,26.4,14.5
Coosa County,Alabama,10955,20342,14.4,11.3
Covington County,Alabama,37519,22431,17.6,10.7
Crenshaw County,Alabama,13866,21580,17.6,6.4
Cullman County,Alabama,81703,21857,16.4,5.8
Dale County,Alabama,49393,23194,19.6,10.4
Dallas County,Alabama,40755,18248,31.9,13.7
DeKalb County,Alabama,71194,20020,21.5,5.1
Elmore County,Alabama,80989,26251,13.5,7.3
Escambia County,Alabama,37621,18164,23.8,13.7
Etowah County,Alabama,103132,22278,17.9,7.6
Fayette County,Alabama,16657,21191,18.1,8.4
Franklin County,Alabama,31507,19314,23.0,8.2
Geneva County,Alabama,26572,21084,22.5,8.9
Greene County,Alabama,8533,14197,38.8,14.8
Hale County,Alabama,14995,20269,26.1,11.7
Henry County,Alabama,17110,23983,13.7,6.7
Houston County,Alabama,104108,24781,18.5,7.6
Jackson County,Alabama,52326,20946,19.0,7.7
Jefferson County,Alabama,659460,29456,17.6,7.7
Lamar County,Alabama,14021,21152,23.1,7.9
Lauderdale County,Alabama,92590,25803,16.3,6.6
Lawrence County,Alabama,33288,22419,16.6,7.2
Lee County,Alabama,156597,26170,22.0,5.7
Limestone County,Alabama,91695,26685,14.8,7.1
Lowndes County,Alabama,10362,18976,30.2,11.2
Macon County,Alabama,19358,19564,25.9,14.5
Madison County,Alabama,353213,34232,13.6,6.5
Marengo County,Alabama,19743,22996,25.6,12.8
Marion County,Alabama,30058,21835,17.6,5.5
Marshall County,Alabama,94738,22710,21.0,6.5
Mobile County,Alabama,414328,24347,19.3,7.5
Monroe County,Alabama,21745,17264,33.7,21.6
Montgomery County,Alabama,227120,26712,20.8,7.6
Morgan County,Alabama,119157,25013,16.6,6.5
Perry County,Alabama,9680,13449,41.9,11.8
Pickens County,Alabama,20170,20089,22.9,12.2
Pike County,Alabama,33287,20808,26.3,8.7
Randolph County,Alabama,22530,20983,18.7,5.8
Russell County,Alabama,58480,21279,20.9,9.7
St. Clair County,Alabama,86937,24686,13.7,5.8
Shelby County,Alabama,208721,35330,8.3,4.3
Sumter County,Alabama,13084,14739,36.0,13.4
Talladega County,Alabama,80888,21382,19.3,10.0
Tallapoosa County,Alabama,40756,22430,21.2,9.2
Tuscaloosa County,Alabama,204424,24895,17.3,6.7
Walker County,Alabama,64927,21217,21.5,10.0
Washington County,Alabama,16746,23239,22.0,11.0
Wilcox County,Alabama,10919,15774,31.9,17.2
Winston County,Alabama,23968,20580,18.7,9.4
Aleutians East Borough,Alaska,3338,31254,16.7,2.4
Aleutians West Census Area,Alaska,5784,35998,7.5,1.9
Anchorage Municipality,Alaska,298225,38977,8.1,5.8
Bethel Census Area,Alaska,17957,18654,27.0,19.3
Bristol Bay Borough,Alaska,917,42002,7.1,6.8
Denali Borough,Alaska,2303,33084,15.5,1.9
Dillingham Census Area,Alaska,4974,24647,16.6,11.4
Fairbanks North Star Borough,Alaska,100031,35328,7.7,8.0
Haines Borough,Alaska,2537,35907,8.4,2.7
Hoonah-Angoon Census Area,Alaska,2146,33704,11.1,11.7
Juneau City and Borough,Alaska,32434,41904,7.4,4.8
Kenai Peninsula Borough,Alaska,57961,33336,11.0,8.6
Ketchikan Gateway Borough,Alaska,13745,33771,10.6,7.0
Kodiak Island Borough,Alaska,13773,32625,9.3,5.3
Kusilvak Census Area,Alaska,8129,11693,39.1,28.8
Lake and Peninsula Borough,Alaska,1301,23434,16.5,13.2
Matanuska-Susitna Borough,Alaska,101135,30409,9.8,9.8
Nome Census Area,Alaska,9869,20952,24.9,16.6
North Slope Borough,Alaska,9757,48777,10.2,9.5
Northwest Arctic Borough,Alaska,7715,21879,25.3,20.1
Petersburg Borough,Alaska,3275,35044,7.8,4.8
Prince of Wales-Hyder Census Area,Alaska,6473,26695,16.0,13.5
Sitka City and Borough,Alaska,8810,36617,9.2,5.0
Skagway Municipality,Alaska,1038,39376,5.6,7.9
Southeast Fairbanks Census Area,Alaska,6889,31051,13.9,12.5
Valdez-Cordova Census Area,Alaska,9439,37935,7.4,7.5
Wrangell City and Borough,Alaska,2475,29943,11.7,7.0
Yakutat City and Borough,Alaska,682,32393,6.2,6.5
Yukon-Koyukuk Census Area,Alaska,5453,21057,25.5,19.7
Apache County,Arizona,71602,13865,35.9,14.1
Cochise County,Arizona,126516,24896,18.1,7.6
Coconino County,Arizona,138639,25722,21.0,8.3
Gila County,Arizona,53145,22433,21.9,11.7
Graham County,Arizona,37700,17874,21.4,12.2
Greenlee County,Arizona,9368,24935,11.5,7.6
La Paz County,Arizona,20477,21707,19.7,9.5
Maricopa County,Arizona,4155501,30186,15.7,6.0
Mohave County,Arizona,204691,23527,18.6,10.1
Navajo County,Arizona,107902,17685,29.1,16.3
Pima County,Arizona,1007257,27323,18.3,8.4
Pinal County,Arizona,405537,22944,15.5,7.8
Santa Cruz County,Arizona,46358,19482,21.8,8.7
Yavapai County,Arizona,220972,27504,14.7,7.3
Yuma County,Arizona,204281,20600,19.7,10.9
Arkansas County,Arkansas,18352,23766,20.7,8.5
Ashley County,Arkansas,20771,20703,21.3,9.9
Baxter County,Arkansas,41093,24737,12.6,5.8
Benton County,Arkansas,251823,30611,10.5,3.1
Boone County,Arkansas,37212,22288,15.8,6.1
Bradley County,Arkansas,10994,21575,26.4,9.4
Calhoun County,Arkansas,5194,22866,19.6,5.7
Carroll County,Arkansas,27782,21754,15.7,5.1
Chicot County,Arkansas,11008,20560,29.4,10.1
Clark County,Arkansas,22495,20382,21.5,4.5
Clay County,Arkansas,15190,19171,22.3,5.3
Cleburne County,Arkansas,25361,26189,15.4,5.5
Cleveland County,Arkansas,8332,23171,19.3,6.6
Columbia County,Arkansas,23992,20296,25.1,9.5
Conway County,Arkansas,20954,22365,18.5,7.1
Craighead County,Arkansas,104246,25594,18.3,6.0
Crawford County,Arkansas,62119,22104,16.6,6.2
Crittenden County,Arkansas,49278,20721,23.5,8.4
Cross County,Arkansas,17164,22894,18.0,6.8
Dallas County,Arkansas,7585,18309,13.2,6.4
Desha County,Arkansas,12094,18187,32.6,12.2
Drew County,Arkansas,18620,20300,24.4,9.0
Faulkner County,Arkansas,121282,25240,16.3,5.1
Franklin County,Arkansas,17803,19988,21.9,6.6
Fulton County,Arkansas,12092,19674,23.0,6.9
Garland County,Arkansas,97994,25690,19.1,9.0
Grant County,Arkansas,18076,25814,14.4,8.7
Greene County,Arkansas,44197,22094,15.9,7.0
Hempstead County,Arkansas,22154,18817,25.3,6.4
Hot Spring County,Arkansas,33480,20868,15.8,6.2
Howard County,Arkansas,13472,23627,21.0,5.7
Independence County,Arkansas,37097,23056,18.5,6.0
Izard County,Arkansas,13521,19737,17.7,9.6
Jackson County,Arkansas,17429,19458,25.1,7.0
Jefferson County,Arkansas,71373,20371,24.7,10.0
Johnson County,Arkansas,26155,18757,22.5,4.7
Lafayette County,Arkansas,7051,25140,23.8,8.3
Lawrence County,Arkansas,16777,19422,18.4,8.2
Lee County,Arkansas,9614,15610,27.3,15.3
Lincoln County,Arkansas,13885,13142,17.9,8.1
Little River County,Arkansas,12494,23412,18.8,10.3
Logan County,Arkansas,21802,19708,20.2,8.1
Lonoke County,Arkansas,71568,25184,12.3,4.8
Madison County,Arkansas,15907,23203,17.8,4.5
Marion County,Arkansas,16374,19200,19.5,7.7
Miller County,Arkansas,43760,22227,21.0,8.0
Mississippi County,Arkansas,43534,20378,25.6,11.6
Monroe County,Arkansas,7420,20486,28.6,9.1
Montgomery County,Arkansas,9059,21480,18.1,4.4
Nevada County,Arkansas,8528,18644,23.0,4.8
Newton County,Arkansas,7898,18053,17.8,4.0
Ouachita County,Arkansas,24378,19780,26.0,8.3
Perry County,Arkansas,10320,21781,17.8,6.5
Phillips County,Arkansas,19518,17287,33.0,15.7
Pike County,Arkansas,10893,20180,17.3,5.1
Poinsett County,Arkansas,24098,18361,21.4,5.4
Polk County,Arkansas,20212,18735,26.6,8.5
