County Name,State,2023-07-23
Statewide Unallocated,AL,0
Autauga County ,AL,235
Baldwin County ,AL,731
Barbour County ,AL,104
Bibb County ,AL,111
Blount County ,AL,261
Bullock County ,AL,54
Butler County ,AL,132
Calhoun County ,AL,683
Chambers County ,AL,172
Cherokee County ,AL,89
Chilton County ,AL,221
Choctaw County ,AL,39
Clarke County ,AL,107
Clay County ,AL,94
Cleburne County ,AL,73
Coffee County ,AL,246
Colbert County ,AL,279
Conecuh County ,AL,76
Coosa County ,AL,64
Covington County ,AL,266
Crenshaw County ,AL,111
Cullman County ,AL,400
Dale County ,AL,245
Dallas County ,AL,260
DeKalb County ,AL,347
Elmore County ,AL,364
Escambia County ,AL,181
Etowah County ,AL,696
Fayette County ,AL,100
Franklin County ,AL,154
Geneva County ,AL,174
Greene County ,AL,54
Hale County ,AL,110
Henry County ,AL,79
Houston County ,AL,532
Jackson County ,AL,257
Jefferson County ,AL,2536
Lamar County ,AL,74
Lauderdale County ,AL,423
Lawrence County ,AL,181
Lee County ,AL,373
Limestone County ,AL,324
Lowndes County ,AL,81
Macon County ,AL,90
Madison County ,AL,1068
Marengo County ,AL,116
Marion County ,AL,161
Marshall County ,AL,411
Mobile County ,AL,1810
Monroe County ,AL,88
Montgomery County ,AL,1016
Morgan County ,AL,554
Perry County ,AL,49
Pickens County ,AL,122
Pike County ,AL,144
Randolph County ,AL,80
Russell County ,AL,101
St. Clair County ,AL,443
Shelby County ,AL,488
Sumter County ,AL,55
Talladega County ,AL,402
Tallapoosa County ,AL,255
Tuscaloosa County ,AL,858
Walker County ,AL,482
Washington County ,AL,61
Wilcox County ,AL,48
Winston County ,AL,143
Statewide Unallocated,AK,0
Aleutians East Borough ,AK,2
Aleutians West Census Area ,AK,3
Municipality of Anchorage,AK,619
Bethel Census Area ,AK,48
Bristol Bay Borough ,AK,2
Denali Borough ,AK,1
Dillingham Census Area ,AK,13
Fairbanks North Star Borough ,AK,171
Haines Borough ,AK,2
Hoonah-Angoon Census Area ,AK,0
City and Borough of Juneau,AK,28
Kenai Peninsula Borough ,AK,125
Ketchikan Gateway Borough ,AK,27
Kodiak Island Borough ,AK,13
Kusilvak Census Area ,AK,4
Lake and Peninsula Borough ,AK,0
Matanuska-Susitna Borough ,AK,276
Nome Census Area ,AK,7
North Slope Borough ,AK,16
Northwest Arctic Borough ,AK,22
Petersburg Borough ,AK,2
Prince of Wales - Hyder Census Area ,AK,4
